Source	Target	Model	Grammaticality	Meaning Preservation	Simplicity	Overall Quality
It 's increasingly true across the country -- we -LRB- whites -RRB- have n't been replacing ourselves , '' said Steve Murdock , a sociology professor at Rice University who has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	it 's increasingly true across the country — whites and non-whites — have n't been replacing ourselves .	BERT	4	1	4	1
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to work in a job that does not pay much and does not require a college degree .	Reference	4	3	4	3
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they also are more likely to be in a job that does not need a college degree , and are being paid less than white workers with the same experience .	PBMT-R	4	4	2	4
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	are to a job that does require a degree a job are being paid .	Hybrid	1	1	1	1
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they also are more likely to be in a job that does not require a college degree .	EncDecA	4	3	4	3
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job that does not require a college degree .	DRESS	4	3	4	3
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	some are more likely to be in a job that does not require a college degree .	S2S-All-FA	4	3	4	3
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	more likely to be be in a job .	EditNTS	4	1	4	1
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they also are more likely to be in a job that does not require a college degree .	Transformer	4	3	4	3
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job that does not require a doctor and be being paid less than white food with the same quality .	DMASS	1	1	1	1
They also are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they also are more likely to be in a job that does not require a college degree than white workers with the same experience .	BERT	4	3	4	3
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	but in texas and 24 other states , whites are at least twice as likely as hispanics to have college degrees .	Reference	4	4	2	4
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	however , in texas and 24 other states , whites are at least twice as likely as hispanics to have college degrees .	PBMT-R	4	4	2	4
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	whites are hispanics to have degrees .	Hybrid	2	1	2	1
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	however , in texas and 24 other states , african-americans are at least twice as likely as latinos to have college degrees .	EncDecA	4	1	2	1
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	however , in texas and 24 other states , african-americans are at least twice as likely as latinos to have college degrees .	DRESS	4	1	2	1
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	whites are at least twice as likely as hispanics to have college degrees .	S2S-All-FA	4	3	4	3
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	other states like these have studied college degrees .	EditNTS	3	1	4	1
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	however , fewer hispanics are now than other states .	Transformer	2	1	3	1
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	however , in hispanics and texas other states , olympic are at least twice as likely as camps to have youth leagues .	DMASS	1	1	1	1
However , in Texas and 24 other states , whites are at least twice as likely as Hispanics to have college degrees .	whites are more likely to have college degrees than other hispanics .	BERT	3	2	3	2
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to work in a job that does not pay much and does not require a college degree .	Reference	4	3	4	3
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are having a hard time than whites finding a job , are more likely to be in a job that does not need a college degree , and are being paid less than white workers with the same experience .	PBMT-R	3	4	2	4
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	are are to a job that require a degree a job does are being paid .	Hybrid	1	1	1	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job that does not require a college degree .	EncDecA	4	3	4	3
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job .	DRESS	4	1	4	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to have a harder time than whites .	S2S-All-FA	4	1	4	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	less than white workers are able .	EditNTS	2	1	3	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are also more likely to be a job that does not require a college degree than being paid less than the white workers .	Transformer	3	3	3	3
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job that does not require a doctor .	DMASS	4	1	4	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require a college degree and are being paid less than white workers with the same experience .	they are also less likely to get a job than white workers .	BERT	4	3	4	3
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job that does not pay much and does not require a college degree .	Reference	4	1	1	2
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job where their college degree is needed .	PBMT-R	4	1	2	1
They are more likely to work in a job where their college degree is not needed .	they are to degree work is needed .	Hybrid	1	1	3	1
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job where their college degree is not needed .	EncDecA	4	4	2	4
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job where their college degree is not needed .	DRESS	4	4	2	4
They are more likely to work in a job where their college degree is not needed .	their college student is not needed .	S2S-All-FA	1	1	3	1
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job before college .	EditNTS	4	1	3	1
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job where their college degree is not needed .	Transformer	4	4	2	4
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job where their college finds .	DMASS	3	1	2	1
They are more likely to work in a job where their college degree is not needed .	they are more likely to work in a job where their college degree is not needed .	BERT	4	4	2	4
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has said for years that texas and other states must do a better job of educating minorities , especially hispanics .	Reference	4	4	2	4
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has been argued for years that texas and other states must do a better job of educating minorities , especially hispanic .	PBMT-R	3	4	2	4
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has been arguing for decades that texas states must do a job , hispanics .	Hybrid	3	1	3	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has been criticized for years that texas and other states must do a better job of poor minorities .	EncDecA	3	1	2	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has been criticized for years that texas and other states must do a better job .	DRESS	3	1	3	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	they must do a better job of educating minorities .	S2S-All-FA	4	2	4	2
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has been trying to get decades texas and other states .	EditNTS	1	1	1	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	they say the states must do a better job of educating minorities .	Transformer	4	1	4	2
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	hispanics has been argued for decades that especially and other states must do a better job of corporal violent targets .	DMASS	1	1	1	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics .	murdock has been arguing for years that texas and other states must do better .	BERT	4	2	4	2
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are more likely to work in a job that does not pay much and does not require a college degree .	Reference	4	3	4	3
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are having a hard time than whites finding a job , are more likely to be in a job that does not require their college degree , and are being paid less than white workers with the same experience .	PBMT-R	3	4	2	4
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	are are to a job that require degree a job does are being paid .	Hybrid	1	1	1	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job that does not require their college degree .	EncDecA	4	3	4	3
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job .	DRESS	4	1	4	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are having a harder time than whites finding a job .	S2S-All-FA	4	3	4	3
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	less than white workers are able .	EditNTS	3	1	4	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are also more likely to be a job .	Transformer	3	1	4	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are more likely to be in a job that does not require their doctor and be being paid less than relatives with the same quality .	DMASS	1	1	1	1
They are having a harder time than whites finding a job , are more likely to be in a job that does not require their college degree and are being paid less than white workers with the same experience .	they are also less likely to get a job than white workers .	BERT	4	3	4	3
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	that is part of the reason he can not understand why he has had such a hard time finding a job .	Reference	4	3	1	3
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success at colby-sawyer , which he was on a scholarship , is part of the reason winfield can not understand why he ca n't find a job .	PBMT-R	3	4	2	4
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	success at colby-sawyer he attended is part winfield can understand why he ca find a job .	Hybrid	1	1	1	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success at colby-sawyer , which he attended on a scholarship , is part of the reason winfield can not understand why he ca n't find a job .	EncDecA	4	4	2	4
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success at colby-sawyer , which he attended on a scholarship , is part of the reason winfield can not understand why he ca n't find a job .	DRESS	4	4	2	4
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	winfield can not understand why he ca n't find a job .	S2S-All-FA	4	3	4	3
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success at colby-sawyer is part of the reason that .	EditNTS	3	1	3	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success at colby attended on a scholarship .	Transformer	3	1	4	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	he is part of the program at can .	DMASS	3	1	3	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success at colby-sawyer is one of his few reasons why he can not understand why he ca n't find a job .	BERT	4	3	1	3
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	that is part of the reason he can not understand why he has had such a hard time finding a job .	Reference	4	3	1	3
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	his success at colby-sawyer , which he was on a scholarship , is part of the reason winfield ca n't understand why he ca n't find a job .	PBMT-R	3	4	2	4
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	success at colby-sawyer he attended is part winfield ca understand why he ca find a job .	Hybrid	1	1	1	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	his success at colby-sawyer , which he attended on a scholarship , is part of the reason winfield does n't understand why he ca n't find a job .	EncDecA	4	4	2	4
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	his success at colby-sawyer , which he attended on a scholarship , is part of the reason winfield does n't understand why he ca n't find a job .	DRESS	4	4	2	4
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	winfield does n't understand why he ca n't find a job .	S2S-All-FA	4	3	4	3
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	his success at colby-sawyer is part of the reason that winfield ca n't understand .	EditNTS	3	1	3	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	his success at colby attended on a scholarship .	Transformer	3	1	4	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	he is part of the program at ca .	DMASS	3	1	3	1
His success at Colby-Sawyer , which he attended on a scholarship , is part of the reason Winfield ca n't understand why he ca n't find a job .	his success at colby-sawyer is one of his few reasons why he ca n't find a job .	BERT	4	1	3	1
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	that is part of the reason he can not understand why he has had such a hard time finding a job .	Reference	4	3	4	3
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	winfield 's success in college is part of the reason he can not understand why he was having trouble finding a job .	PBMT-R	4	4	2	4
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	success is part he can understand why he is having trouble finding a job .	Hybrid	1	1	1	1
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	EncDecA	4	4	2	4
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	DRESS	4	4	2	4
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	he can not understand why winfield is having trouble finding a job .	S2S-All-FA	4	1	3	1
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	winfield 's success in college is part of the reason .	EditNTS	3	2	4	2
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	besides hearing to get a job , he 's not having a trouble finding a job .	Transformer	1	1	1	1
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	job 's soccer program is part of the program he can not understand why he is not really .	DMASS	1	1	1	1
Winfield 's success in college is part of the reason he can not understand why he is having trouble finding a job .	bancroft 's success in college is part of why he can not understand why he is having trouble finding a job .	BERT	4	1	2	2
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	that is part of the reason he can not understand why he has had such a hard time finding a job .	Reference	4	3	3	3
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college , which he was on a scholarship , is part of the reason winfield can not understand why he ca n't find a job .	PBMT-R	3	4	2	4
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	success he attended is part winfield can understand why he ca find a job .	Hybrid	1	1	1	1
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college , which he attended on a scholarship , is part of the reason winfield can not understand why he ca n't find a job .	EncDecA	4	4	2	4
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college is part of the reason winfield can not understand why he ca n't find a job .	DRESS	4	3	3	3
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	winfield can not understand why he ca n't find a job .	S2S-All-FA	4	3	4	3
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college , he said , is part of the reason .	EditNTS	4	2	4	2
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college , he attended a scholarship .	Transformer	3	1	3	1
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college , he is part of the program reason helps not understand why he ca n't know a job .	DMASS	1	1	1	1
His success in college , which he attended on a scholarship , is part of the reason Winfield can not understand why he ca n't find a job .	his success in college is part of why he ca n't find a job .	BERT	4	1	4	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	murdock has said for years that texas and other states must do a better job of educating minorities , especially hispanics .	Reference	4	3	4	3
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	murdock has been argued for years that texas and other states must do a better job of educating minorities , especially hispanics , or employers will go overseas to find skilled workers .	PBMT-R	3	4	2	4
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	murdock has been arguing for decades that texas states must do a job , hispanics or employers will go to find workers .	Hybrid	1	1	1	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	murdock has been criticized for years that texas and other states must do a better job of poor minorities .	EncDecA	3	1	3	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	murdock has been criticized for years that texas and other states must do a better job of helping minorities .	DRESS	3	1	3	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	they need to find skilled workers .	S2S-All-FA	4	1	4	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	murdock has been trying for many years .	EditNTS	4	1	4	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	many hispanics are especially skilled overseas to go to school .	Transformer	2	1	2	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	, has been argued for years that or and other states must do a better job of corporal violent targets .	DMASS	1	1	1	1
Murdock has been arguing for decades that Texas and other states must do a better job of educating minorities , especially Hispanics , or employers will go overseas to find skilled workers .	also , many states will need to keep teaching non-white people at a better job of making good jobs .	BERT	1	1	1	1
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said this beach town on the island of hawaii was once '' just one of the beautifulest places on the island .	Reference	4	3	4	3
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said that before the volcano erupted , the beach here on the end of hawaii 's big island was one of the most beautiful places on the island .	PBMT-R	4	4	2	4
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said that the volcano erupted this town was one .	Hybrid	2	1	2	1
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said that before the volcano erupted , this beach town on the east end of hawaii 's big island was one of the most beautiful places on the island .	EncDecA	4	4	2	4
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said that before the volcano erupted , this beach town on the east end of the island .	DRESS	3	2	3	2
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	it was one of the most beautiful places on the island end of hawaii 's big island .	S2S-All-FA	4	3	4	3
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	this town on the east end of hawaii 's big island was .	EditNTS	3	1	4	1
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	the island is still big .	Transformer	4	1	4	1
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said that before the chambers happened , this late winter season on the island island of big island 's hawaii was one of the most volcano places on the island .	DMASS	1	1	1	1
Hauanio said that before the volcano erupted , this beach town on the east end of Hawaii 's Big Island was one of the most beautiful places on the island .	hauanio said that before the volcano erupted , this beach town on the east end of hawaii 's big island was one of the most beautiful places on the island .	BERT	4	4	2	4
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio said this beach town on the island of hawaii was once '' just one of the beautifulest places on the island .	Reference	4	3	2	3
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his green , pre-volcano beach town on the end of the island of hawaii as '' just one of the beautifulest places on the island .	PBMT-R	4	4	2	4
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers green pre-volcano town one . ''	Hybrid	1	1	3	1
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his green , pre-volcano beach town on the east .	EncDecA	4	3	4	3
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his green , pre-volcano beach town on the east .	DRESS	4	3	4	3
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	she remembers his green beach in the island of hawaii .	S2S-All-FA	4	1	4	1
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his green and beach town on the island .	EditNTS	3	1	4	1
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his green , volcano-on the east end of the island of hawaii 's pacific island .	Transformer	2	1	1	1
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his old , one bone saturday on the island near of .	DMASS	1	1	1	1
Hauanio remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio remembers his green , pre-volcano town on the east end of the island .	BERT	4	3	4	3
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio said this beach town on the island of hawaii was once '' just one of the beautifulest places on the island .	Reference	4	2	2	3
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his verdant , pre-volcano beach town on the end of the island of hawaii as '' just one of the beautifulest places on the island .	PBMT-R	4	3	2	4
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers verdant pre-volcano town one . ''	Hybrid	1	1	2	1
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his verdant , pre-volcano beach town on the east .	EncDecA	4	3	4	3
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his verdant , pre-volcano beach town on the east .	DRESS	4	3	4	3
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his daughter in island of hawaii .	S2S-All-FA	3	1	3	1
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his verdant , pre-volcano beach town on hawaii .	EditNTS	4	3	4	3
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	in hawaii , the island has been at the end of the beach island .	Transformer	2	1	2	1
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	beautifulest remembers his verdant , one beach saturday on the island near of .	DMASS	1	1	1	1
Hauaino remembers his verdant , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	haua remembers his town on the east end of the island .	BERT	4	2	4	2
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauanio said this beach town on the island of hawaii was once '' just one of the beautifulest places on the island .	Reference	4	2	4	3
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his green , pre-volcano beach town on the end of the island of hawaii as '' just one of the beautifulest places on the island .	PBMT-R	4	3	2	4
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers green pre-volcano town one . ''	Hybrid	1	1	2	1
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his green , pre-volcano beach town on the east .	EncDecA	4	3	4	3
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his green , pre-volcano beach town on the east .	DRESS	4	3	4	3
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his green beach in island of hawaii .	S2S-All-FA	3	1	4	1
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his green and beach town on the island .	EditNTS	3	2	3	2
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	the island is still very beautiful .	Transformer	4	1	4	1
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	hauaino remembers his old , one bone saturday on the island near of .	DMASS	1	1	1	1
Hauaino remembers his green , pre-volcano beach town on the east end of the Island of Hawaii as '' just one of the beautifulest places on the island .	haua remembers his green , pre-volcano town on the east end of the island .	BERT	4	2	4	3
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	countries like japan and south korea do a lot of high-seas fishing . <sep> they would lose hundreds of millions of dollars each year .	Reference	3	4	1	4
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	countries fishing nations , such as japan and south korea , would lose hundreds of millions of dollars each year .	PBMT-R	3	3	1	3
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	nations would lose hundreds .	Hybrid	3	1	4	1
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	the country is known as japan and south korea .	EncDecA	3	1	4	1
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	the japan and south korea would lose hundreds of millions of dollars each year .	DRESS	4	3	4	3
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	south korea would lose hundreds of millions of dollars each year .	S2S-All-FA	4	3	4	3
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	major fishing nations would lose hundreds of millions of dollars .	EditNTS	4	3	4	3
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	south korea would lose hundreds of millions of dollars each year .	Transformer	4	3	4	3
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	oil sands sand costs millions of dollars each year .	DMASS	1	1	1	1
Major fishing nations , such as Japan and South Korea , would lose hundreds of millions of dollars each year .	they would lose hundreds of millions of dollars each year .	BERT	4	2	4	2
She tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	she tells girls that if they are good at math and interested in how things work , '' engineering is a great field . ''	Reference	4	4	2	4
She tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	she says girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	PBMT-R	3	4	2	4
She tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	she tells girls '' that if you are in how things work engineering is a field .	Hybrid	2	1	1	1
She tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	she tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	EncDecA	4	4	2	4
She tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	she tells girls '' that if you are good at math and share in how things work , then engineering is a great field . ''	DRESS	3	2	2	2
She tells girls '' that if you are good at math and interested in how things work , then engineering is a great field . ''	she says girls are good at math .	S2S-All-FA	4	1	4	1
